case_index,scenario,sentiment,urgency,emp_steering,frm_steering,emp_token_len,frm_token_len,emp_sent_len,frm_sent_len,emp_ttr,frm_ttr,rouge1_ef,rouge2_ef,rougeL_ef,rouge1_ec,rouge1_fc,emp_flesch_ease,emp_flesch_grade,emp_fog,frm_flesch_ease,frm_flesch_grade,frm_fog,emp_empathy_score,emp_formality_score,frm_empathy_score,frm_formality_score,emp_fp_singular,frm_fp_singular,emp_passive,frm_passive,style_disc_score,emp_entity_cov,frm_entity_cov,emp_placeholder,frm_placeholder,emp_cov_product,emp_cov_order_id,emp_cov_issue,emp_cov_urgency,emp_cov_sentiment,emp_cov_customer_name,frm_cov_product,frm_cov_order_id,frm_cov_issue,frm_cov_urgency,frm_cov_sentiment,frm_cov_customer_name,kg_nodes,kg_edges,kg_density,kg_salience
1,battery_issue,frustrated,high,kg_activation,kg_activation,53,57,3,3,0.9245283018867925,0.8421052631578947,0.23300970873786409,0.019801980198019802,0.1553398058252427,0.1973684210526316,0.2064516129032258,57.31380952380957,9.322857142857146,8.982312925170069,26.088238993710718,14.009433962264154,19.142138364779875,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8416666666666667
2,battery_issue,angry,high,kg_activation,kg_activation,37,43,2,2,0.918918918918919,0.8837209302325582,0.39473684210526316,0.027027027027027025,0.15789473684210528,0.1925925925925926,0.2127659574468085,51.29535714285717,10.452142857142857,12.714285714285715,41.5884756097561,12.551341463414637,13.078048780487805,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7,3,0.07142857142857142,0.8902857142857143
3,battery_issue,neutral,medium,kg_activation,kg_activation,44,48,2,2,0.9318181818181818,0.9375,0.29545454545454547,0.0,0.13636363636363635,0.18604651162790697,0.21052631578947367,42.505714285714305,12.547619047619047,14.114285714285714,16.12913043478264,16.723478260869566,19.63478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8357142857142857
4,battery_issue,polite,low,kg_activation,kg_activation,56,53,3,3,0.8571428571428571,0.8867924528301887,0.31372549019607837,0.04,0.15686274509803919,0.3137254901960784,0.18791946308724833,50.953205128205155,10.458461538461538,10.77948717948718,50.407687074829965,10.286122448979594,12.247619047619049,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.06896551724137931,0.14285714285714285,0.0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.85
5,battery_issue,frustrated,high,kg_activation,kg_activation,41,37,2,2,0.9512195121951219,0.9459459459459459,0.18918918918918923,0.0,0.08108108108108107,0.203125,0.16129032258064516,39.53480769230771,12.589358974358976,13.953846153846156,60.963928571428596,9.103571428571428,10.428571428571429,0.03225806451612903,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022246941045606233,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8857142857142858
6,battery_issue,angry,high,kg_activation,kg_activation,40,50,2,2,0.85,0.84,0.28571428571428575,0.024390243902439025,0.11904761904761904,0.09523809523809525,0.20645161290322583,51.74473684210528,10.762105263157899,12.863157894736842,20.4375,15.998333333333338,18.77777777777778,0.0,0.034482758620689655,0.06451612903225806,0.10344827586206896,0.3333333333333333,0.0,0.0,0.5,0.004449388209121247,0.1111111111111111,0.1111111111111111,0,0,0.2,,0.0,0.0,0.0,0.0,0.2,,0.0,0.0,0.0,0.0,9,6,0.08333333333333333,0.8722222222222222
7,battery_issue,polite,medium,kg_activation,kg_activation,36,88,2,4,0.9166666666666666,0.8181818181818182,0.2456140350877193,0.017857142857142856,0.10526315789473684,0.11678832116788318,0.17486338797814208,64.4693181818182,8.366212121212126,11.44848484848485,32.58115506329116,13.621360759493673,15.494936708860761,0.0,0.0,0.06451612903225806,0.06896551724137931,0.0,0.0,0.0,0.0,0.004449388209121247,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6,3,0.1,0.8250000000000001
8,battery_issue,neutral,low,kg_activation,kg_activation,42,52,2,2,0.9047619047619048,0.9038461538461539,0.22222222222222224,0.022727272727272724,0.1333333333333333,0.1388888888888889,0.1168831168831169,63.86500000000004,9.32,10.0,19.02800000000002,16.816,19.6,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,-0.03225806451612903,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8166666666666668
9,battery_issue,frustrated,high,kg_activation,kg_activation,55,53,3,2,0.8909090909090909,0.9245283018867925,0.19801980198019803,0.0,0.11881188118811882,0.2328767123287671,0.15384615384615383,63.5094117647059,8.624313725490197,10.721568627450981,24.8532142857143,15.879285714285714,15.514285714285714,0.0,0.034482758620689655,0.03225806451612903,0.034482758620689655,0.0,0.0,0.0,0.0,-0.03225806451612903,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6,3,0.1,0.8250000000000001
10,battery_issue,angry,high,kg_activation,kg_activation,34,43,2,2,0.9411764705882353,0.8837209302325582,0.19444444444444442,0.0,0.08333333333333331,0.171875,0.16176470588235292,53.120000000000005,9.825,11.4,36.37000000000003,13.155000000000001,13.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,9,0.16071428571428573,0.8812500000000001
