case_index,scenario,sentiment,urgency,emp_steering,frm_steering,emp_token_len,frm_token_len,emp_sent_len,frm_sent_len,emp_ttr,frm_ttr,rouge1_ef,rouge2_ef,rougeL_ef,rouge1_ec,rouge1_fc,emp_flesch_ease,emp_flesch_grade,emp_fog,frm_flesch_ease,frm_flesch_grade,frm_fog,emp_empathy_score,emp_formality_score,frm_empathy_score,frm_formality_score,emp_fp_singular,frm_fp_singular,emp_passive,frm_passive,style_disc_score,emp_entity_cov,frm_entity_cov,emp_placeholder,frm_placeholder,emp_cov_product,emp_cov_order_id,emp_cov_urgency,emp_cov_sentiment,emp_cov_customer_name,emp_cov_issue,frm_cov_product,frm_cov_order_id,frm_cov_urgency,frm_cov_sentiment,frm_cov_customer_name,frm_cov_issue,kg_nodes,kg_edges,kg_density,kg_salience
1,battery_issue,frustrated,high,kg_activation,kg_activation,94,67,3,3,0.851063829787234,0.835820895522388,0.34615384615384615,0.06493506493506494,0.14102564102564102,0.2127659574468085,0.16049382716049382,43.95228682170546,14.25046511627907,15.652713178294574,25.720000000000027,14.88888888888889,17.288888888888888,0.0,0.06896551724137931,0.06451612903225806,0.06896551724137931,0.6666666666666666,0.0,0.3333333333333333,0.0,-0.06451612903225806,0.16666666666666666,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8000000000000002
2,battery_issue,angry,high,kg_activation,kg_activation,81,78,3,3,0.8888888888888888,0.8461538461538461,0.3841059602649007,0.053691275167785234,0.18543046357615894,0.23350253807106602,0.20618556701030927,37.07600000000002,14.29866666666667,16.933333333333334,16.028063063063087,17.15162162162162,20.13693693693694,0.0,0.06896551724137931,0.0,0.13793103448275862,0.5,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9,5,0.06944444444444445,0.8706666666666667
3,battery_issue,neutral,medium,kg_activation,kg_activation,88,117,3,5,0.7386363636363636,0.8632478632478633,0.37755102040816324,0.09278350515463918,0.14285714285714285,0.20725388601036268,0.17040358744394618,40.51888888888891,14.31530864197531,16.725925925925928,38.72902702702706,13.372504504504501,15.726846846846849,0.0,0.034482758620689655,0.03225806451612903,0.034482758620689655,0.0,0.5,0.3333333333333333,0.2,-0.03225806451612903,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8250000000000001
4,battery_issue,polite,low,kg_activation,kg_activation,67,120,3,7,0.9104477611940298,0.8166666666666667,0.2937853107344633,0.011428571428571427,0.13559322033898305,0.17391304347826086,0.24528301886792453,35.515114942528754,13.108620689655172,14.629885057471265,48.95088495575226,10.441997471554995,13.182806573957016,0.0,0.0,0.03225806451612903,0.10344827586206896,0.0,0.6,0.0,0.0,0.07119021134593993,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.85
5,battery_issue,frustrated,high,kg_activation,kg_activation,78,58,3,3,0.8461538461538461,0.8620689655172413,0.2595419847328244,0.015503875968992248,0.15267175572519084,0.23170731707317074,0.19047619047619047,63.50309523809524,10.19857142857143,11.61904761904762,28.765000000000015,13.718888888888891,15.348148148148148,0.0,0.0,0.06451612903225806,0.034482758620689655,0.3333333333333333,0.0,0.0,0.0,-0.030033370411568408,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.85
6,battery_issue,angry,high,kg_activation,kg_activation,78,74,3,3,0.8589743589743589,0.8378378378378378,0.44604316546762585,0.1313868613138686,0.18705035971223022,0.23232323232323235,0.21538461538461537,18.78595238095241,16.435714285714287,18.476190476190478,22.093039215686304,15.808823529411772,18.47843137254902,0.0,0.06896551724137931,0.0967741935483871,0.034482758620689655,0.0,0.0,0.0,0.0,-0.13125695216907673,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8,5,0.08928571428571429,0.88125
7,battery_issue,polite,medium,kg_activation,kg_activation,70,60,3,3,0.8714285714285714,0.8833333333333333,0.3333333333333333,0.0,0.19999999999999998,0.19393939393939394,0.2038216560509554,39.89500000000004,12.663333333333338,14.66666666666667,23.220476190476234,14.657857142857146,16.752380952380953,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,-0.03225806451612903,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8357142857142857
8,battery_issue,neutral,low,kg_activation,kg_activation,87,78,3,4,0.8160919540229885,0.8205128205128205,0.39215686274509803,0.07947019867549669,0.16993464052287582,0.25142857142857145,0.24390243902439027,33.83333333333334,15.165000000000003,16.666666666666668,23.193397887323982,14.433908450704227,16.677464788732394,0.0,0.034482758620689655,0.06451612903225806,0.06896551724137931,0.0,0.0,0.0,0.0,-0.030033370411568408,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,0.14285714285714285,0.84375
9,battery_issue,frustrated,high,kg_activation,kg_activation,70,63,3,3,0.8428571428571429,0.8571428571428571,0.25600000000000006,0.0,0.12800000000000003,0.2248520710059172,0.18518518518518515,45.862857142857166,12.079365079365079,14.74920634920635,24.28684210526319,14.591929824561404,17.424561403508772,0.0,0.034482758620689655,0.06451612903225806,0.0,0.3333333333333333,0.0,0.0,0.0,-0.09899888765294772,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8714285714285716
10,battery_issue,angry,high,kg_activation,kg_activation,72,64,3,3,0.8611111111111112,0.859375,0.3937007874015748,0.096,0.12598425196850394,0.22619047619047616,0.16149068322981366,37.769487179487186,13.373846153846156,15.435897435897438,35.66500000000002,13.253333333333337,15.333333333333332,0.0,0.034482758620689655,0.03225806451612903,0.034482758620689655,0.0,0.0,0.3333333333333333,0.0,-0.03225806451612903,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,12,0.16666666666666666,0.8888888888888888
