case_index,scenario,sentiment,urgency,emp_steering,frm_steering,emp_token_len,frm_token_len,emp_sent_len,frm_sent_len,emp_ttr,frm_ttr,rouge1_ef,rouge2_ef,rougeL_ef,rouge1_ec,rouge1_fc,emp_flesch_ease,emp_flesch_grade,emp_fog,frm_flesch_ease,frm_flesch_grade,frm_fog,emp_empathy_score,emp_formality_score,frm_empathy_score,frm_formality_score,emp_fp_singular,frm_fp_singular,emp_passive,frm_passive,style_disc_score,emp_entity_cov,frm_entity_cov,emp_placeholder,frm_placeholder,emp_cov_product,emp_cov_order_id,emp_cov_issue,emp_cov_urgency,emp_cov_sentiment,emp_cov_customer_name,frm_cov_product,frm_cov_order_id,frm_cov_issue,frm_cov_urgency,frm_cov_sentiment,frm_cov_customer_name,kg_nodes,kg_edges,kg_density,kg_salience
1,battery_issue,frustrated,high,kg_activation,kg_activation,71,68,3,3,0.8732394366197183,0.8529411764705882,0.3076923076923077,0.046875,0.12307692307692308,0.16049382716049382,0.17073170731707318,54.8647849462366,10.740967741935489,11.492473118279571,27.878541666666678,14.670625000000001,15.408333333333331,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.3333333333333333,0.0,0.10344827586206896,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8416666666666667
2,battery_issue,angry,high,kg_activation,kg_activation,87,55,4,3,0.8505747126436781,0.9454545454545454,0.33082706766917297,0.03053435114503817,0.13533834586466165,0.192090395480226,0.16216216216216217,39.54250000000002,12.712500000000002,14.5,18.41474358974361,14.996923076923078,17.702564102564104,0.0,0.06896551724137931,0.0,0.06896551724137931,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8,3,0.05357142857142857,0.8165
3,battery_issue,neutral,medium,kg_activation,kg_activation,84,122,3,3,0.9285714285714286,0.8934426229508197,0.32989690721649484,0.020833333333333332,0.12371134020618556,0.1595744680851064,0.22727272727272727,45.95269230769236,13.30897435897436,14.502564102564103,54.5364285714286,12.608571428571427,14.771428571428572,0.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.75,0.0,0.3333333333333333,-0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8250000000000001
4,battery_issue,polite,low,kg_activation,kg_activation,79,121,4,4,0.8227848101265823,0.9008264462809917,0.30434782608695654,0.010989010989010988,0.11956521739130435,0.15116279069767444,0.1650485436893204,60.014256756756765,9.484459459459462,12.264864864864865,50.70278504672899,11.503663551401871,14.915140186915886,0.06451612903225806,0.0,0.0,0.034482758620689655,0.0,0.6666666666666666,0.0,0.0,0.09899888765294772,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8416666666666667
5,battery_issue,frustrated,high,kg_activation,kg_activation,71,66,3,3,0.8309859154929577,0.8787878787878788,0.4153846153846154,0.03125,0.23076923076923075,0.14545454545454545,0.15094339622641512,55.041363636363656,11.04757575757576,13.64848484848485,37.12607526881723,13.21516129032258,16.008602150537637,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8000000000000002
6,battery_issue,angry,high,kg_activation,kg_activation,65,121,3,4,0.8615384615384616,0.8760330578512396,0.367816091954023,0.023255813953488372,0.13793103448275862,0.10227272727272728,0.25438596491228066,63.228908045977036,9.24310344827586,10.491954022988507,62.71100000000001,9.878444444444444,10.491851851851854,0.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.7,0.0,0.0,-0.034482758620689655,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10,12,0.13333333333333333,0.8699999999999999
7,battery_issue,polite,medium,kg_activation,kg_activation,64,121,3,5,0.875,0.8347107438016529,0.26744186046511625,0.03529411764705882,0.12790697674418605,0.14723926380368096,0.1626794258373206,37.747909604519776,12.880000000000003,13.968361581920906,62.57535714285717,8.878809523809526,11.571428571428573,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.75,0.3333333333333333,0.0,0.034482758620689655,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8,8,0.14285714285714285,0.83125
8,battery_issue,neutral,low,kg_activation,kg_activation,73,87,3,5,0.9041095890410958,0.8850574712643678,0.5578231292517007,0.1931034482758621,0.2312925170068027,0.15819209039548024,0.17021276595744683,30.80186274509805,14.594117647058827,17.301960784313728,51.08561538461541,10.009384615384615,10.855384615384615,0.0,0.06896551724137931,0.0,0.06896551724137931,0.3333333333333333,0.6,0.3333333333333333,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8250000000000001
9,battery_issue,frustrated,high,kg_activation,kg_activation,66,122,4,7,0.8181818181818182,0.8688524590163934,0.32748538011695905,0.047337278106508875,0.16374269005847952,0.16,0.11711711711711711,63.762807377049214,8.154221311475407,9.378688524590164,68.55556603773587,7.4591105121293815,9.830727762803235,0.06451612903225806,0.0,0.0,0.0,0.0,0.6,0.25,0.0,0.06451612903225806,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8285714285714286
10,battery_issue,angry,high,kg_activation,kg_activation,76,58,4,3,0.9210526315789473,0.8793103448275862,0.3492063492063492,0.03225806451612903,0.15873015873015875,0.20606060606060608,0.09523809523809523,48.87821428571431,10.789285714285715,12.714285714285715,30.331666666666678,13.500370370370373,15.348148148148148,0.06451612903225806,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.20244716351501668,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8714285714285713
